Smiles,CorrectionEnergy
FC(F)(F)C(F)(F)F,24.12182359944804
CC1(C)C2CCC1(C)C(=O)C2,36.66898617144575
OC1(C(=O)NC(=O)NC1=O)C2(O)C(=O)NC(=O)NC2=O,35.36749844987352
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,51.78673299554634
CC(C)(CO)[N+]([O-])=O,30.59829214334522
CC(Cl)C(Cl)(Cl)C(O)O,29.16149628484893
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,47.7988178515663
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,3.3588430352212697
CCOc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,3.819071542246036
Cc1cc(ccc1N)C(O)(c2ccc(N)cc2)c3ccc(N)cc3,-79.42074401570112
OC(c1ccccc1)(c2ccccc2)c3ccccc3,-73.22512953677536
CC1(C(=O)NC(=O)NC1=O)c2ccccc2,-1.0941876326382385
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,-71.86654800693117
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,39.59080658260915
N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-26.96656196128891
CC(CO)(CO)[N+]([O-])=O,29.88472497901969
CCC(C)(O)CC,29.48909046322445
CCC(C)(O)C#C,-19.541632495464754
CCO[P](=O)(C#N)N(C)C,-18.77638812994336
NC(CO)(CO)CO,24.983744791874685
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,43.669438817171965
OC(=O)CC(O)(CC(O)=O)C(O)=O,32.49141953168659
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,36.88197057383758
CCC(CO)(CO)CO,28.08912613457507
[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,39.71581523990349
CCC(C)(CC)OC(N)=O,29.92708482874626
Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,-69.94258532153071
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,32.233246058043164
CCCCO[P](=O)(CCCC)OCCCC,37.960755870896776
CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,38.540008255729276
CO[P](=S)(OC)SCc1nc(N)nc(N)n1,-10.01161084260491
CC1=CC(=O)CC(C)(C)C1,38.49554785156709
CC(C)(N=NC(C)(C)C#N)C#N,-72.04396123890638
CC(C)=CCCC(C)(O)C=C,39.33583919426758
BrCC(Br)Br,32.630663599447885
CC(Br)CBr,31.58670210647293
CCC(C)C,29.91184912052309
CC(=C)C=C,37.60425382346529
CC(C)CN,27.596286284848052
CC(C)C=O,31.953970800644175
CC(=C)C=O,35.833768152115205
CCC(C)Cl,29.818950613497854
CC(Cl)CCl,30.096712106473014
ClCC(Cl)=C,34.050829457943976
CC(=O)CCl,31.83760229361896
CC(O)CN,26.01118061349809
CCC(Cl)Cl,30.198272106472963
OC(=O)CBr,30.71504662226907
OC(=O)C=C,33.697502480765145
CNC(C)=O,28.801977964969048
NNC(N)=S,26.95787229361908
CC(=O)OO,31.17691945794396
BrC(Br)C(Br)Br,34.20102359944793
OC(=O)C(Cl)Cl,30.9872366222692
CC(C)[N+]([O-])=O,30.856550800644907
CC(C)(CO)C(O)C(=O)NCCC(O)=O,31.35427770129229
CC1(C)OC(=O)C[C@@H]1C([O-])=O,34.12604650886618
CC1(C)C2CCC(C2)C1=C,38.216513335770934
CC(C)(OO)c1ccccc1,-3.764018043800775
CC(C)c1sc(N[S](=O)(=O)c2ccc(N)cc2)nn1,-25.595984984108554
CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2,-35.29601834435033
CCC(C)(C)c1ccc(O)cc1,-4.421093865425063
CC(C)(O)C1CCC(C)(O)CC1,31.175504491325913
CC1=CCC2CC1C2(C)C,38.54373333577108
CC(O)C(N)C(O)=O,27.63974214334516
CC(=O)C1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,48.80901445166353
CN1C(c2ccc(Cl)cc2)[S](=O)(=O)CCC1=O,11.732020874387047
CC(C)(CO)[C@@H](O)C(=O)NCCCO,29.63101751414649
CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,5.169986395462813
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,41.715160941130144
Oc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1O,-36.662441998159736
CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,-57.798602148434725
CC(=O)CC(c1ccc(Cl)cc1)C2=C(O)Oc3ccccc3C2=O,-57.063302148433934
Oc1ccc(cc1)C(c2ccc(O)cc2)c3ccccc3C(O)=O,-72.86488517125507
COc1c2occc2c(OC)c3C(=O)C=C(C)Oc13,-47.03350218530484
Cc1ccc2C(=O)c3ccccc3C(=O)c2c1N,-35.20159632680857
O[S](=O)(=O)c1cccc2C(=O)c3cccc(c3C(=O)c12)[S](O)(=O)=O,-8.461685728504591
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-1.4728974823637486
CN1CCN(CC1)C(c2ccccc2)c3ccccc3,-38.43692550867465
CN1N(c2ccccc2)C(=O)C(=C1C)N,-31.122132185304128
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,6.152696545738479
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,51.67752598150105
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,42.560098105461634
CN1C=CC(=O)c2ccccc12,-28.66558203502975
Oc1cccc2c(O)cccc12,-34.86057789352625
COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C,-28.91789827061785
O[P](O)(=O)O[C@H]1[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H]1O[P](O)(O)=O,39.07612501311138
Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C,-53.27885379169278
c1ccc(cc1)c2ccccc2c3ccccc3,-73.18091087947506
COc1ccc2nccc(C(=O)C3CC4CCN3CC4C=C)c2c1,-23.55489244898305
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,-35.468034833834494
